"","comicName","comicSum","comicGrade"
"197","먼지처럼","유난히도 추웠던 그 겨울날의 이야기.","9.53"
"198","무토 (Muto)","리메이크예정","9.70"
"199","악마왕의 괴팍한나라","악... 만우절입니다","9.50"
"200","아스말의 노래","판타지 미스테리 액션 모험","9.53"
"201","탈(TAL)","by 강임","9.76"
"202","진부한 로맨스는 영원히.","흔해빠진 사랑타령.","9.79"
"203","내 어린고양이와 늙은개","인생 견생 묘생","9.76"
"204","고시생툰","고시생 이야기","9.69"
"205","혈액형에 관한 간단한 고찰","각자 다른 혈액형들 사이에서 벌어지는 즐거운 에피소드","9.70"
"206","그라운드 제로","1945년 8월의 이야기","9.72"
"207","Stupor Mundi","'세계의 경이'","9.59"
"208","마야","마야","9.16"
"209","잡초이야기","part 1.농부찬양가","9.67"
"210","얼룩말","백수 한세태가 우연히 새 룸메를 맞이하며 겪는 이야기.","9.76"
"211","이단세","가족 학원물","9.79"
"212","카일룸","악마에 대항해 싸우는 성인(聖人)들의 모험이야기.","9.61"
"213","키스 마이 라이프(Kiss My Life)","한 소녀가 자신에 대해 알아가는 성장만화","9.79"
"214","딩스&뚱스","미국에 간 딩스와 뚱스","9.54"
"215","아이란건","초콜릿을 너무나 좋아하는 아이의 좌충우돌 초콜릿 사수기!!","9.47"
"216","백야(白夜)","TRIPLE 43013","9.65"
"217","시골 앤더 시티","소박한 4컷만화","9.73"
"218","이사모 괴짜가족","엽기발랄 치아교정 스토리","8.89"
"219","도사랜드","도사들이 사는 세상","9.56"
"220","타임인조선","철수와 준재의 조선견문록(?!)","9.64"
"221","그남자의 '!'","운명의 상대와의 이별, 그리고 벌어지는 기묘한 일들","9.52"
"222","완전한 인간","피아노 만화의 탈을 쓴 발달장애 아동 보육 만화.","9.78"
"223","디지털브레이커","상상이현실이된다!","9.67"
"224","[실화] 사랑하니까 시즌4","2030세대의 실제사랑이야기를 바탕으로 제작","9.67"
"225","헤븐샤워(Heaven Shower)","천국이 쏟아지다.","9.75"
"226","다른 세상 소년","필승고 악마 신수현","9.55"
"227","길에서 만나다","함께 걷고 싶은 길, 서울풍경.","9.64"
"228","레비아탄","사랑하는 당신에게","9.73"
"229","꽃같은인생","본격 연애물!","9.63"
"230","괴짜여기숙사","소소한여대기숙사만화","9.77"
"231","친절한영희씨","본격다직업열혈히로인개그만화","9.60"
"232","가타리안","누군가를 죽여야 보상이 주어지는 가타리안. 가타리안이 된 한신. 보상을 통한 그의 무한 업그레이드.","7.35"
"233","괴몽탐정 라로샤","본격드림환타지","9.56"
"234","둘만의 이야기","일년전 헤어진 그를 다시 만나다","9.77"
"235","헬퍼","△연재공지△","9.76"
"236","CORE","완벽한 실패작","9.66"
"237","언더시티","가상현실게임만화","9.66"
"238","커피중독자","comics diary ♡","9.39"
"239","이런 영웅은 싫어","히어로만화가 맞으려나","9.78"
"240","꽃밭에솔","꽃밭에솔","9.78"
"241","격투기특성화사립고교 -극지고-","극지고","9.75"
